Age,City,County,State,Sex,Race / Ethnicity
30.0,Queens,Queens,New York,Male,Hispanic / Latino
40.0,Dallas,Dallas,Texas,Male,Hispanic / Latino
30.0,Philadelphia,Philadelphia,Pennsylvania,Male,Black / African American
22.0,Zion,Yakima,Arizona,Female,Hispanic / Latino
30.0,Newark,Essex,New Jersey,Female,White / Caucasian
45.0,Bronx,Bronx,New York,Male,"White / Caucasian, Hispanic / Latino"
20.0,Miami,Miami-Dade,Florida,Male,"White / Caucasian, Hispanic / Latino, Uncertain"
40.0,Fort Worth,Tarrant,Texas,Male,Hispanic / Latino
19.0,Baltimore,Baltimore,Maryland,Male,Black / African American
55.0,Dallas,Dallas,Texas,Male,Hispanic / Latino
55.0,Inglewood,Los Angeles,California,Male,Hispanic / Latino
30.0,Melbourne,Brevard,Florida,Male,White / Caucasian
45.0,Tacoma,Pierce,Washington,Male,"White / Caucasian, Asian"
50.0,Los Angeles,Los Angeles,California,Female,White / Caucasian
25.0,Philadelphia,Philadelphia,Pennsylvania,Male,Black / African American
40.0,Darlington,Bergen,New Jersey,Male,Uncertain
30.0,Wisconsin Dells,Yakima,Arizona,Male,"White / Caucasian, Other"
71.0,Chelsea,Suffolk,Massachusetts,Male,White / Caucasian
30.0,Ambridge,Blaine,Oregon,Male,Uncertain
18.0,Portage,New Madrid,Missouri,Male,White / Caucasian
30.0,Tucson,Yakima,Arizona,Female,Uncertain
25.0,Wisconsin Dells,Yakima,Arizona,Male,"Hispanic / Latino, Asian, Other"
30.0,Wisconsin Dells,Yakima,Arizona,Male,"Hispanic / Latino, Other"
30.0,Antioch,Davidson,Tennessee,Male,"White / Caucasian, Black / African American, Hispanic / Latino, Other"
22.0,Detroit,Wayne,Michigan,Male,Black / African American
33.0,Owensboro,Hanson,North Carolina,Female,White / Caucasian
19.0,Baltimore,Baltimore,Maryland,Male,White / Caucasian
50.0,Brooklyn,Brookings,New York,Male,Black / African American
30.0,Detroit,Wayne,Michigan,Male,White / Caucasian
40.0,Miami Beach,Miami-Dade,Florida,Male,Asian
27.0,Boulder City,Clark,Nevada,Male,Other
40.0,San Diego,San Diego,California,Female,White / Caucasian
20.0,San Diego,San Diego,California,Female,Hispanic / Latino
18.0,Tiverton,Burlington,New Jersey,Male,Uncertain
35.0,Long Beach,Los Angeles,California,Female,Hispanic / Latino
60.0,Houston,Harris,Texas,Male,Hispanic / Latino
